selector,decision,chosen_policy,evidence_score,tau,false_safe,unsafe_accept,selected_truth_cvar,selected_truth_return,task,family,behavior,seed,natural_decision,budget_abstain,common_budget
LCB only,ABSTAIN,constant_momentum,0.0007840741981166,0.0,0,0,0.0277518258426966,0.0001740168539325,daily_factor_momentum,daily industry/factor,low_overlap_concentration,17,ACCEPT,True,85.0
Risk only,ACCEPT,constant_cash_RF,-0.0,0.0,0,0,0.0,8.072331460674158e-05,daily_factor_momentum,daily industry/factor,low_overlap_concentration,17,ACCEPT,False,85.0
SCROPE++,REJECT,momentum_12,2824.999999999659,0.0,0,0,0.0206870786516853,0.0002134831460674,daily_factor_momentum,daily industry/factor,low_overlap_concentration,27,REJECT,False,84.0
Support only,ACCEPT,momentum_12,2824.999999999659,0.0,0,1,0.0206870786516853,0.0002134831460674,daily_factor_momentum,daily industry/factor,low_overlap_concentration,27,ACCEPT,False,84.0
LCB only,ABSTAIN,constant_market_total,0.0006552231409937,0.0,0,0,0.0277601123595505,0.0005706460674157,daily_factor_momentum,daily industry/factor,low_overlap_concentration,27,ACCEPT,True,84.0
Risk only,ACCEPT,constant_cash_RF,-0.0,0.0,0,0,0.0,8.072331460674158e-05,daily_factor_momentum,daily industry/factor,low_overlap_concentration,27,ACCEPT,False,84.0
SCROPE++,ACCEPT,constant_cash_RF,0.0,0.0,0,0,0.0,8.072331460674158e-05,daily_factor_momentum,daily industry/factor,market_state_mixed,7,ACCEPT,False,80.0
Support only,ACCEPT,risk_adjusted_12,1559.7487246922087,0.0,0,1,0.0138866573033707,0.0002252106741573,daily_factor_momentum,daily industry/factor,market_state_mixed,7,ACCEPT,False,80.0
LCB only,ABSTAIN,constant_cash_RF,6.543010278435331e-05,0.0,0,0,0.0,8.072331460674158e-05,daily_factor_momentum,daily industry/factor,market_state_mixed,7,ACCEPT,True,80.0
Risk only,ACCEPT,constant_cash_RF,-0.0,0.0,0,0,0.0,8.072331460674158e-05,daily_factor_momentum,daily industry/factor,market_state_mixed,7,ACCEPT,False,80.0
SCROPE++,ACCEPT,constant_cash_RF,0.0,0.0,0,0,0.0,8.072331460674158e-05,daily_factor_momentum,daily industry/factor,market_state_mixed,17,ACCEPT,False,85.0
