selector,decision,chosen_policy,evidence_score,tau,false_safe,unsafe_accept,selected_truth_cvar,selected_truth_return,task,family,behavior,seed,scheme,risk_version,budget,mode,target_abstain,common_budget,abstention_rate,accept_rate,reject_rate,abstention_gap,matched,false_safe_denominator
LCB only,ACCEPT,ridge_return_train_only,0.0117948447621238,0.0377527770419426,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a015,-0.0261840323767476,0.0377527770419426,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a008,0.022147253119530252,0.1,0,0,0.0330935393258427,0.0004921348314606,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.3416666666666667,0.5416666666666666,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a000,483.0000000000109,0.1,0,0,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0117948447621238,0.1,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a015,-0.0261840323767476,0.1,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,ridge_return_train_only,0.009090395799220885,0.0377527770419426,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,bootstrap,baseline_linked,paper_natural,0.25,,0.15,0.7,0.15,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a000,479.0000000000107,0.0377527770419426,0,1,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,bootstrap,baseline_linked,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0105847038230381,0.0377527770419426,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a011,-0.0135,0.0377527770419426,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,block,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
